Date,Open,High,Low,Close,Adj Close,Volume
2017-02-23,105.500000,106.389999,99.680000,100.384277,100.489998,39822200
2017-02-24,97.070000,102.000000,95.699997,101.353256,101.459999,25747600
2017-02-27,102.199997,105.019997,101.559998,104.300156,104.410004,17885000
2017-02-28,104.800003,105.199997,100.779999,101.373238,101.480003,15634000
2017-03-01,103.790001,104.370003,101.110001,102.681854,102.790001,12620100
2017-03-02,102.269997,102.839996,98.889999,98.895844,99.000000,18858300
2017-03-03,98.570000,98.769997,96.220001,98.326447,98.430000,21617300
2017-03-06,96.959999,98.099998,95.169998,97.567238,97.669998,22089200
2017-03-07,97.669998,99.529999,97.150002,98.636116,98.739998,15085000
2017-03-08,100.699997,101.300003,98.470001,98.456306,98.559998,15967800
2017-03-09,97.910004,99.449997,97.400002,98.436325,98.540001,11951500
2017-03-10,99.610001,100.089996,98.379997,99.015724,99.120003,12493500
2017-03-13,99.540001,102.250000,99.510002,101.742844,101.849998,19353400
2017-03-14,102.370003,102.750000,100.470001,101.672920,101.779999,13050400
2017-03-15,102.250000,102.989998,100.320000,102.442116,102.550003,15375900
2017-03-16,102.980003,103.830002,102.410004,103.700783,103.809998,13077500
2017-03-17,104.519997,106.120003,103.809998,105.958405,106.070000,27992200
2017-03-20,106.779999,109.610001,106.129997,109.334846,109.449997,18714200
2017-03-21,108.750000,109.959999,105.589996,105.798576,105.910004,22837100
2017-03-22,105.459999,108.260002,105.300003,107.956299,108.070000,15419100
2017-03-23,107.750000,108.559998,106.699997,106.977325,107.089996,13348500
2017-03-24,108.970001,109.290001,106.419998,107.356934,107.470001,10987500
2017-03-27,105.580002,108.410004,103.580002,108.136108,108.250000,12666100
2017-03-28,108.300003,108.889999,107.269997,107.576706,107.690002,10811100
2017-03-29,107.989998,108.489998,107.250000,107.227066,107.339996,8749800
2017-03-30,107.629997,110.000000,107.400002,109.284904,109.400002,13138300
2017-03-31,109.010002,109.889999,108.400002,108.815399,108.930000,11020200
2017-04-03,108.949997,109.650002,107.419998,108.265976,108.379997,11130800
2017-04-04,103.400002,104.419998,100.339996,100.673973,100.779999,31782000
2017-04-05,100.019997,102.370003,99.500000,99.924759,100.029999,18676200
2017-04-06,100.239998,101.250000,98.410004,100.653992,100.760002,15878000
2017-04-07,101.019997,101.730003,99.720001,100.224449,100.330002,10726700
2017-04-10,100.360001,100.629997,97.599998,97.667137,97.769997,18908300
2017-04-11,96.550003,98.900002,96.349998,98.016769,98.120003,15453700
2017-04-12,98.120003,98.699997,97.099998,97.207619,97.309998,10352300
2017-04-13,96.330002,97.209999,95.489998,95.389534,95.489998,12672300
2017-04-17,96.010002,99.239998,95.800003,99.125603,99.230003,12432300
2017-04-18,98.650002,99.540001,97.599998,99.185539,99.290001,9252900
2017-04-19,100.000000,100.980003,99.410004,99.575127,99.680000,9520700
2017-04-20,100.269997,101.449997,99.410004,101.153465,101.260002,10100400
2017-04-21,100.839996,101.790001,100.360001,101.573021,101.680000,8547400
2017-04-24,102.959999,103.480003,102.110001,102.841682,102.949997,9295500
2017-04-25,103.540001,105.330002,102.669998,104.629807,104.739998,9711000
2017-04-26,105.290001,105.389999,103.940002,103.910561,104.019997,8175100
2017-04-27,104.320000,105.980003,103.589996,105.528854,105.639999,7992500
